date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-07-26,2017-07-25 22:11:25,97.0,,3,Wednesday
2017-07-26,2017-07-26 08:58:27,65.0,,3,Wednesday
2017-07-26,2017-07-26 09:02:00,34.0,,3,Wednesday
2017-07-26,2017-07-26 21:21:12,106.0,,3,Wednesday
2017-07-27,2017-07-27 08:53:08,22.0,,4,Thursday
2017-07-28,2017-07-28 09:06:08,132.0,,5,Friday
2017-07-28,2017-07-28 21:24:30,92.0,,5,Friday
2017-07-29,2017-07-29 08:05:09,42.0,,6,Saturday
2017-07-30,2017-07-30 10:04:01,115.0,,7,Sunday
2017-07-30,2017-07-30 11:18:21,104.0,,7,Sunday
2017-07-30,2017-07-30 13:29:28,121.0,,7,Sunday
2017-07-30,2017-07-30 20:37:33,81.0,,7,Sunday
2017-07-30,2017-07-30 20:57:15,74.0,,7,Sunday
2017-07-30,2017-07-30 21:37:32,45.0,,7,Sunday
2017-07-30,2017-07-30 21:39:18,55.0,,7,Sunday
2017-07-30,2017-07-30 22:16:56,50.0,,7,Sunday
2017-07-31,2017-07-31 08:17:39,66.0,,1,Monday
2017-07-31,2017-07-31 08:21:29,137.0,,1,Monday
2017-07-31,2017-07-31 08:37:13,119.0,,1,Monday
2017-07-31,2017-07-31 12:30:47,80.0,,1,Monday
2017-08-01,2017-07-31 20:43:54,127.0,,2,Tuesday
2017-08-01,2017-08-01 08:56:51,55.0,,2,Tuesday
2017-08-01,2017-08-01 09:01:37,21.0,,2,Tuesday
2017-08-01,2017-08-01 09:12:24,151.0,,2,Tuesday
2017-08-01,2017-08-01 15:16:32,152.0,,2,Tuesday
2017-08-01,2017-08-01 20:55:08,85.0,,2,Tuesday
2017-08-01,2017-08-01 23:21:03,42.0,,2,Tuesday
2017-08-02,2017-08-02 19:09:42,112.0,,3,Wednesday
2017-08-02,2017-08-02 19:57:02,105.0,,3,Wednesday
2017-08-02,2017-08-02 22:26:37,90.0,,3,Wednesday
2017-08-03,2017-08-03 13:34:02,136.0,,4,Thursday
2017-08-03,2017-08-03 21:07:14,98.0,,4,Thursday
2017-08-05,2017-08-05 08:19:36,49.0,,6,Saturday
2017-08-05,2017-08-05 22:43:54,80.0,,6,Saturday
2017-08-06,2017-08-06 13:50:42,62.0,,7,Sunday
2017-08-06,2017-08-06 19:01:15,93.0,,7,Sunday
2017-08-06,2017-08-06 20:09:11,101.0,,7,Sunday
2017-08-06,2017-08-06 22:25:11,69.0,,7,Sunday
2017-08-06,2017-08-06 22:31:28,69.0,,7,Sunday
2017-08-06,2017-08-06 22:43:48,59.0,,7,Sunday
2017-08-07,2017-07-30 15:07:40,100.0,,1,Monday
2017-08-07,2017-08-07 07:58:03,50.0,,1,Monday
2017-08-07,2017-08-07 08:02:37,57.0,,1,Monday
2017-08-07,2017-08-07 22:26:33,75.0,,1,Monday
2017-08-08,2017-08-08 09:02:20,64.0,,2,Tuesday
2017-08-08,2017-08-08 21:33:08,97.0,,2,Tuesday
2017-08-09,2017-08-09 23:06:32,76.0,,3,Wednesday
2017-08-10,2017-08-10 08:58:56,113.0,,4,Thursday
2017-08-10,2017-08-10 16:09:59,133.0,,4,Thursday
2017-08-10,2017-08-10 17:05:35,120.0,,4,Thursday
2017-08-11,2017-08-11 09:05:03,87.0,,5,Friday
2017-08-11,2017-08-11 09:06:35,63.0,,5,Friday
2017-08-11,2017-08-11 18:41:05,43.0,,5,Friday
2017-08-11,2017-08-11 22:51:21,86.0,,5,Friday
2017-08-12,2017-08-12 18:03:41,126.0,,6,Saturday
2017-08-12,2017-08-12 20:54:20,98.0,,6,Saturday
2017-08-13,2017-08-13 08:50:23,19.0,,7,Sunday
2017-08-13,2017-08-13 09:00:11,110.0,,7,Sunday
2017-08-13,2017-08-13 21:00:55,82.0,,7,Sunday
2017-08-13,2017-08-13 21:31:47,80.0,,7,Sunday
2017-08-14,2017-08-13 20:37:08,88.0,,1,Monday
2017-08-14,2017-08-14 08:04:42,25.0,,1,Monday
2017-08-14,2017-08-14 08:05:42,24.0,,1,Monday
2017-08-14,2017-08-14 08:15:28,51.0,,1,Monday
2017-08-14,2017-08-14 12:40:22,104.0,,1,Monday
2017-08-14,2017-08-14 21:05:25,85.0,,1,Monday
2017-08-17,2017-08-17 13:33:12,193.0,,4,Thursday
2017-08-17,2017-08-17 20:45:13,79.0,,4,Thursday
2017-08-17,2017-08-17 22:15:03,67.0,,4,Thursday
2017-08-17,2017-08-17 22:58:38,81.0,,4,Thursday
